timestamp,journal_id,player,stacks,guardian_points
1702664061,3691211757,530007e999, BalaGi,3,3999898
1702663720,3691179156,5200005f61, Brave Sir Robin,4,1531482
1702663997,3691205712,530007e999, BalaGi,3,3913470
1702663425,3691150143,5200005f61, Brave Sir Robin,4,1528251
1702663973,3691203526,530007e999, BalaGi,3,3791911
1702663393,3691147058,5200005f61, Brave Sir Robin,4,1550291
1702663948,3691201158,530007e999, BalaGi,4,3310247
1702663371,3691145046,5200005f61, Brave Sir Robin,4,1611148
1702663913,3691197784,530007e999, BalaGi,4,3197270
1702663342,3691142439,5200005f61, Brave Sir Robin,4,1628019
1702663831,3691189872,530007e999, BalaGi,4,3182375
1702663306,3691139394,5200005f61, Brave Sir Robin,4,1745983
1702663743,3691181377,530007e999, BalaGi,4,3238425
1702663661,3691173348,530007e999, BalaGi,4,3157204
1702663623,3691169483,530007e999, BalaGi,4,3204687
1702663550,3691162336,530007e999, BalaGi,4,3196632
1702663368,3691144781,530007e999, BalaGi,4,3151900
1702671688,3691880444,5b00011b42, Bonifaziuz,1,2122306
1702671649,3691877049,5b00011b42, Bonifaziuz,2,1614434
1702671617,3691874250,5b00011b42, Bonifaziuz,3,1165396
1702671578,3691870632,5b00011b42, Bonifaziuz,3,1228301
1702671523,3691865669,5b00011b42, Bonifaziuz,3,1146057
1702671491,3691862729,5b00011b42, Bonifaziuz,3,1171205
1702671457,3691859567,5b00011b42, Bonifaziuz,3,1167582
1702671426,3691856690,5b00011b42, Bonifaziuz,3,1162565
1702671387,3691853119,5b00011b42, Bonifaziuz,4,1024949
1702671354,3691850086,5b00011b42, Bonifaziuz,4,986983
1702671304,3691845403,5b00011b42, Bonifaziuz,4,996593
1702671270,3691842135,5b00011b42, Bonifaziuz,4,1006038
1702670982,3691813328,5b00011b42, Bonifaziuz,4,1017850
1702670923,3691807247,5b00011b42, Bonifaziuz,4,1019941
1702670875,3691802224,5b00011b42, Bonifaziuz,4,1042374
1702670805,3691794778,5b00011b42, Bonifaziuz,4,1043686
1702670768,3691790691,5b00011b42, Bonifaziuz,4,990102
1702670739,3691787542,5b00011b42, Bonifaziuz,4,1049980
1702670700,3691783133,5b00011b42, Bonifaziuz,4,1012121
1702670664,3691779290,5b00011b42, Bonifaziuz,4,1082443
1702670624,3691775111,5b00011b42, Bonifaziuz,4,1016258
1702670581,3691770541,5b00011b42, Bonifaziuz,4,1044873
1702670539,3691766087,5b00011b42, Bonifaziuz,4,1026021
1702596133,3687026648,570003d701, Boiti,2,950314
